Player	MP	G	MPG	PPG	RPG	APG	P + R + A	3P	FGM	FGATT	FG_PCT	3PA	FG3_PCT	FTM	FTATT	FT_PCT	SPG	BPG	TPG	FPG	BPM
Tobias Harris	36	1	36.0	37.0	7.0	3.0	47.0	3.0	14.0	25.0	0.56	7.0	0.43	6.0	6.0	1.0	3.0	0.0	3.0	0.0	19.0
James Harden	35	1	35.0	20.0	5.0	8.0	33.0	2.0	4.0	13.0	0.31	10.0	0.2	10.0	10.0	1.0	0.0	0.0	3.0	3.0	-25.0
Justin Holiday	35	1	35.0	8.0	4.0	2.0	14.0	2.0	2.0	8.0	0.25	5.0	0.4	2.0	2.0	1.0	1.0	0.0	1.0	3.0	1.0
Kawhi Leonard	35	1	35.0	20.0	8.0	3.0	31.0	0.0	7.0	18.0	0.39	3.0	0.0	6.0	7.0	0.86	4.0	1.0	3.0	0.0	-12.0
Rudy Gobert	35	1	35.0	12.0	11.0	0.0	23.0	0.0	5.0	8.0	0.62	0.0	0.0	2.0	2.0	1.0	0.0	2.0	3.0	5.0	4.0
Aaron Gordon	33	1	33.0	25.0	15.0	2.0	42.0	1.0	8.0	15.0	0.53	2.0	0.5	8.0	8.0	1.0	0.0	0.0	4.0	0.0	1.0
Ivica Zubac	33	1	33.0	16.0	6.0	2.0	24.0	0.0	8.0	9.0	0.89	0.0	0.0	0.0	0.0	0.0	1.0	0.0	4.0	3.0	-6.0
Pat Connaughton	33	1	33.0	5.0	3.0	2.0	10.0	1.0	1.0	3.0	0.33	3.0	0.33	2.0	2.0	1.0	0.0	0.0	0.0	3.0	5.0
Kyrie Irving	33	1	33.0	23.0	2.0	1.0	26.0	2.0	8.0	17.0	0.47	6.0	0.33	5.0	5.0	1.0	0.0	0.0	1.0	2.0	-19.0
Luguentz Dort	32	1	32.0	17.0	9.0	0.0	26.0	3.0	5.0	9.0	0.56	5.0	0.6	4.0	4.0	1.0	3.0	1.0	2.0	3.0	31.0
Donovan Mitchell	32	1	32.0	29.0	2.0	5.0	36.0	5.0	11.0	20.0	0.55	11.0	0.45	2.0	2.0	1.0	2.0	0.0	0.0	1.0	28.0
Stephen Curry	32	1	32.0	21.0	5.0	3.0	29.0	4.0	7.0	15.0	0.47	10.0	0.4	3.0	3.0	1.0	0.0	0.0	7.0	3.0	-6.0
Colby Jones	31	4	7.75	1.0	1.75	1.0	3.75	0.0	0.5	2.5	0.2	0.5	0.0	0.0	0.5	0.0	0.5	0.25	0.25	2.0	-1.0
Luka Dončić	31	1	31.0	25.0	10.0	7.0	42.0	3.0	7.0	19.0	0.37	7.0	0.43	8.0	10.0	0.8	3.0	0.0	2.0	0.0	-14.0
Mike Conley	30	1	30.0	6.0	3.0	9.0	18.0	2.0	2.0	7.0	0.29	3.0	0.67	0.0	0.0	0.0	1.0	0.0	1.0	1.0	-10.0
Chet Holmgren	30	1	30.0	14.0	4.0	2.0	20.0	0.0	5.0	9.0	0.56	2.0	0.0	4.0	4.0	1.0	2.0	4.0	2.0	3.0	22.0
Klay Thompson	29	1	29.0	14.0	2.0	2.0	18.0	1.0	6.0	15.0	0.4	4.0	0.25	1.0	1.0	1.0	0.0	3.0	2.0	3.0	10.0
Dereck Lively II	29	1	29.0	6.0	9.0	0.0	15.0	0.0	3.0	6.0	0.5	0.0	0.0	0.0	0.0	0.0	1.0	2.0	1.0	3.0	-16.0
Reggie Jackson	29	1	29.0	12.0	5.0	9.0	26.0	0.0	6.0	13.0	0.46	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0
Jarrett Allen	29	1	29.0	19.0	7.0	3.0	29.0	0.0	8.0	10.0	0.8	0.0	0.0	3.0	4.0	0.75	0.0	2.0	0.0	1.0	22.0
Royce O'Neale	29	1	29.0	9.0	4.0	5.0	18.0	2.0	3.0	7.0	0.43	5.0	0.4	1.0	3.0	0.33	4.0	1.0	0.0	4.0	13.0
Chris Paul	28	1	28.0	2.0	4.0	8.0	14.0	0.0	1.0	5.0	0.2	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	5.0
Evan Mobley	27	1	27.0	11.0	14.0	7.0	32.0	0.0	5.0	12.0	0.42	1.0	0.0	1.0	2.0	0.5	2.0	1.0	0.0	3.0	4.0
Darius Garland	27	1	27.0	11.0	2.0	5.0	18.0	2.0	4.0	7.0	0.57	4.0	0.5	1.0	1.0	1.0	0.0	0.0	2.0	1.0	4.0
Patrick Beverley	27	1	27.0	4.0	9.0	7.0	20.0	0.0	2.0	8.0	0.25	4.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	2.0	13.0
Eric Gordon	27	1	27.0	23.0	3.0	3.0	29.0	4.0	8.0	17.0	0.47	9.0	0.44	3.0	3.0	1.0	0.0	1.0	0.0	1.0	8.0
Draymond Green	27	1	27.0	13.0	2.0	9.0	24.0	2.0	4.0	7.0	0.57	4.0	0.5	3.0	4.0	0.75	2.0	2.0	2.0	1.0	-5.0
Tim Hardaway Jr.	27	1	27.0	14.0	2.0	2.0	18.0	2.0	5.0	11.0	0.45	4.0	0.5	2.0	2.0	1.0	0.0	0.0	0.0	3.0	-9.0
Max Strus	26	1	26.0	22.0	5.0	2.0	29.0	6.0	8.0	13.0	0.62	10.0	0.6	0.0	0.0	0.0	2.0	0.0	0.0	0.0	20.0
Troy Brown Jr.	25	1	25.0	10.0	7.0	0.0	17.0	1.0	4.0	8.0	0.5	5.0	0.2	1.0	2.0	0.5	0.0	1.0	0.0	1.0	9.0
Josh Green	25	1	25.0	11.0	4.0	5.0	20.0	2.0	4.0	8.0	0.5	5.0	0.4	1.0	2.0	0.5	2.0	0.0	1.0	2.0	-1.0
